ticker,small_ema,large_ema,total_trades,pnl,initial_balance,trade_size,stoploss,target,profitable_trades,losing_trades,win_percentage,lose_percentage,date_range

ETH-USD,8,38,798,-1260.4783203136958,100000,40,0.01,0.1,228,570,28.57142857142857,71.42857142857143,2023-03-17 01:20:00+00:00 - 2023-04-17 11:18:00+00:00
ETH-USD,8,38,795,-1384.5164062494587,100000,40,0.02,0.2,202,593,25.40880503144654,74.59119496855345,2023-03-17 01:20:00+00:00 - 2023-04-17 11:18:00+00:00
ETH-USD,8,38,777,-3392.9785156233265,100000,40,0.1,1.0,139,638,17.88931788931789,82.1106821106821,2023-03-17 01:20:00+00:00 - 2023-04-17 11:18:00+00:00
ETH-USD,8,38,580,-1499.08203125,100000,40,1,10,82,498,14.13793103448276,85.86206896551725,2023-03-17 01:20:00+00:00 - 2023-04-17 11:34:00+00:00
ETH-USD,8,38,707,-3615.9521484375,100000,40,0.5,5.0,107,600,15.134370579915135,84.86562942008487,2023-03-17 01:20:00+00:00 - 2023-04-17 11:18:00+00:00
ETH-USD,8,38,599,-1780.0478515629766,100000,40,0.9,9.0,86,513,14.357262103505844,85.64273789649415,2023-03-17 01:20:00+00:00 - 2023-04-17 11:18:00+00:00
ETH-USD,8,38,777,-3552.169335935969,100000,40,0.09,0.8999999999999999,139,638,17.88931788931789,82.1106821106821,2023-03-17 01:20:00+00:00 - 2023-04-17 11:18:00+00:00
ETH-USD,8,38,461,-321.8896484375,100000,40,1.5,15.0,62,399,13.449023861171366,86.55097613882863,2023-03-17 01:20:00+00:00 - 2023-04-17 11:34:00+00:00
ETH-USD,8,38,439,-4787.398437499778,100000,40,1.6,16.0,53,386,12.072892938496583,87.92710706150342,2023-03-17 01:20:00+00:00 - 2023-04-17 11:18:00+00:00
ETH-USD,8,38,490,-727.0371093752692,100000,40,1.4,14.0,66,424,13.46938775510204,86.53061224489797,2023-03-17 01:20:00+00:00 - 2023-04-17 11:34:00+00:00
ETH-USD,8,38,519,-1377.3291015624636,100000,40,1.3,13.0,70,449,13.48747591522158,86.51252408477842,2023-03-17 01:20:00+00:00 - 2023-04-17 11:34:00+00:00
ETH-USD,8,38,454,-2534.890624999971,100000,40,1.55,15.5,58,396,12.77533039647577,87.22466960352423,2023-03-17 01:20:00+00:00 - 2023-04-17 11:36:00+00:00
ETH-USD,8,38,332,-4326.633789062498,100000,40,2.2,22.0,39,293,11.74698795180723,88.25301204819277,2023-03-17 01:20:00+00:00 - 2023-04-17 11:34:00+00:00
ETH-USD,8,38,302,-4953.2470703125,100000,40,2.5,25.0,34,268,11.258278145695364,88.74172185430463,2023-03-17 01:20:00+00:00 - 2023-04-17 11:36:00+00:00
ETH-USD,8,38,350,-6599.111328125,100000,40,2.5,25.0,40,310,11.428571428571429,88.57142857142857,2023-02-17 04:50:00+00:00 - 2023-04-17 11:35:00+00:00
ETH-USD,8,38,637,-1309.93164062309,100000,40,0.1,1.0,64,573,10.047095761381476,89.95290423861853,2023-02-17 04:50:00+00:00 - 2023-04-17 09:35:00+00:00
ETH-USD,8,38,631,-3368.5761718756294,100000,40,0.2,2.0,54,577,8.55784469096672,91.44215530903328,2023-02-17 04:50:00+00:00 - 2023-04-17 09:35:00+00:00
ETH-USD,8,38,555,-8048.908203125993,100000,40,0.9,9.0,51,504,9.18918918918919,90.81081081081082,2023-02-17 04:50:00+00:00 - 2023-04-17 09:35:00+00:00
ETH-USD,8,38,533,8717.05078125,100000,40,0.9,9.0,115,418,21.575984990619137,78.42401500938087,2023-02-17 04:50:00+00:00 - 2023-04-17 11:25:00+00:00
ETH-USD,8,38,588,1390.87890625,100000,40,0.9,9.0,105,483,17.857142857142858,82.14285714285714,2023-03-17 01:20:00+00:00 - 2023-04-17 11:34:00+00:00
ETH-USD,8,38,693,-680.72265625,100000,40,0.5,5.0,153,540,22.07792207792208,77.92207792207793,2023-03-17 01:20:00+00:00 - 2023-04-17 11:28:00+00:00
ETH-USD,8,38,749,-4194.873046875,100000,40,0.2,2.0,232,517,30.97463284379172,69.02536715620828,2023-03-17 01:20:00+00:00 - 2023-04-17 11:22:00+00:00
ADA-USD,8,38,330,10560.172080993665,100000,100000,0.0005,0.005,61,269,18.484848484848484,81.51515151515152,2023-03-17 01:22:00+00:00 - 2023-04-17 11:58:00+00:00
